36,"[-0.9360032748857201, -13719.0, 14657.0, 0.8390697807876959, -0.7158832748857201, -10492.701159999999, 14656.999999999998, 0.935487999042216]"
37,"[-0.7546667398704293, -27491.0, 36428.0, 0.4274923765689196, -0.5568403540316972, -19473.197200000002, 34970.880000000005, 0.6671051026771128]"
38,"[-0.8112602308783355, -8428.993798825906, 10390.0, 0.9971620709837796, -0.8112602308783355, -8428.993798825906, 10390.0, 0.9971620709837796]"
39,"[-0.6129953763021558, -11003.88, 17951.0, 0.9202113754538653, -0.3617993220675607, -5975.08686, 16514.920000000002, 1.0704972908557233]"
40,"[-0.708646409852289, -19334.0, 27283.0, 0.6712650229683211, -0.488027510262801, -12782.26038, 26191.68, 0.867064324879221]"
41,"[-0.7952755905511811, -27068.0, 34036.0, 0.4401337679415991, -0.5782662401574804, -18894.594960000002, 32674.56, 0.6843966803720277]"
42,"[-0.8301773968507076, -29155.0, 35119.0, 0.3777635934858493, -0.6429197927048036, -22127.126196, 34416.62, 0.5877922064271401]"
43,"[-0.6183842370335464, -20996.0, 33953.0, 0.6215960100572258, -0.4525957239017572, -13522.9447, 29878.640000000003, 0.8449289102864858]"
44,"[-0.7260782149067201, -21170.988590250145, 29158.0, 0.6163664609907824, -0.5162634845986941, -14752.146470250147, 28574.84, 0.8081941096866687]"
45,"[-0.66893518134285, -16120.0, 24098.0, 0.7673156893318956, -0.45795426667637745, -10815.06628, 23616.040000000005, 0.9258540897116703]"
46,"[-0.5849526701196642, -9825.45, 16797.0, 0.9554288573340229, -0.3455453937443237, -5455.87842, 15789.179999999998, 1.0860138797305185]"
47,"[-0.6857378465404853, -17463.0, 25466.0, 0.7271800188507878, -0.4955161699392708, -12366.438488, 24956.68, 0.8794911978770935]"
48,"[-0.5490815339993554, -8519.0, 15515.0, 0.9944722279222905, -0.3218349312493286, -4793.5382, 14894.4, 1.1058079741581466]"
49,"[-0.8375316601427585, -36374.0, 43430.0, 0.16202315774264958, -0.6299914899415902, -26813.319799999997, 42561.4, 0.44774490761789304]"
50,"[-0.7930126161098018, -11440.0, 14426.0, 0.9071778917530308, -0.5528646161098019, -7975.624952, 14425.999999999998, 1.0107110379551902]"
51,"[-0.5343227184359683, -19514.0, 36521.0, 0.6658857074905852, -0.32059461064894723, -11474.267059999998, 35790.58, 0.9061538177183946]"
52,"[-0.6749741982340125, -35316.0, 52322.0, 0.1936415787173421, -0.49464812316042966, -24845.739935999998, 50229.119999999995, 0.5065462010406532]"
53,"[-0.7932268578878748, -30420.25, 38350.0, 0.33995148844026357, -0.5848029162121172, -21978.648, 37583.0, 0.5922294900818574]"
54,"[-0.8107462686567164, -29876.0, 36850.0, 0.35621644648891804, -0.6026594578129759, -21763.841, 36113.0, 0.5986490157475576]"
55,"[-0.4238579561902924, -8784.88, 20726.0, 0.9865263812599548, -0.23154313203442317, -4223.0874, 18238.88, 1.1228559453677405]"
56,"[-0.8180630099703997, -31385.805440524357, 38366.0, 0.31109578107457, -0.6101459285412243, -22940.68152052436, 37598.68, 0.5634790355982047]"
57,"[-0.5328707246718078, -9051.875, 16987.0, 0.978547212726743, -0.2901390687997956, -4632.87682, 15967.779999999999, 1.1106093533143047]"
58,"[-0.8512723102618908, -22437.835553882916, 26358.0, 0.5785066305497125, -0.8512723102618908, -22437.835553882916, 26358.0, 0.5785066305497125]"
59,"[-0.5218337390278085, -14149.0, 27114.0, 0.8262191938131045, -0.3078507541100087, -8180.124040000001, 26571.72, 1.0045995651259607]"
60,"[-0.8949649351929778, -25212.95215425657, 28172.0, 0.4955720323224235, -0.7148329351929779, -20138.27345025657, 28171.999999999996, 0.647229241750003]"
61,"[-0.9291747450811432, -25879.375, 27852.0, 0.47565592827339864, -0.9291747450811432, -25879.375, 27852.0, 0.47565592827339864]"
62,"[-0.9328868256710072, -28083.625, 30104.0, 0.4097817274856236, -0.8128908256710072, -24471.265416, 30103.999999999996, 0.5177374042709517]"
63,"[-0.9054118393905729, -28525.0, 31505.0, 0.39659119765792517, -0.765331839390573, -24111.7796, 31504.999999999996, 0.5284806687933702]"
64,"[-0.9288735556133179, -39309.0, 42319.0, 0.0743104303695659, -0.7436913832788958, -30842.830135999997, 41472.619999999995, 0.32732264473932715]"
65,"[-0.7027916720106023, -16439.0, 23391.0, 0.7577823469019079, -0.48192882501104406, -10821.88526, 22455.36, 0.9256503039080238]"
66,"[-0.6670305676855895, -21996.0, 32976.0, 0.5917109240698036, -0.4560107833526423, -14736.663359999999, 32316.480000000003, 0.8086568237678471]"
67,"[-0.910484611188408, -30365.572267744592, 33351.0, 0.34158553717031365, -0.910484611188408, -30365.572267744592, 33351.0, 0.34158553717031365]"
68,"[-0.7604294642380215, -28472.0, 37442.0, 0.39817510721525856, -0.571744351263287, -20979.106959999997, 36693.16, 0.6221008600102148]"
69,"[-0.5462278199853605, -21641.0, 39619.0, 0.6023201295953385, -0.3531589999850618, -13711.970292, 38826.62, 0.8392798642157424]"
70,"[-0.9237666272923625, -23291.851740549628, 25214.0, 0.5529842833765275, -0.7837346272923627, -19761.08489254963, 25213.999999999996, 0.6585015542305466]"
71,"[-0.909706816955453, -30346.0, 33358.0, 0.34217045607482965, -0.909706816955453, -30346.0, 33358.0, 0.34217045607482965]"
72,"[-0.6100780138364162, -12434.0, 20381.0, 0.8774721162815332, -0.3978959324861391, -7947.32666, 19973.379999999997, 1.0115567348449073]"
73,"[-0.6048478655767484, -21310.0, 35232.0, 0.6122120930571752, -0.4742365975272943, -16374.137728, 34527.36, 0.7597207614779675]"
74,"[-0.5309348053305462, -20318.875, 38270.0, 0.6418319489064589, -0.3375538829903532, -12659.82336, 37504.6, 0.8707233657499646]"
75,"[-0.6844804121707009, -28165.0, 41148.0, 0.40734982861339714, -0.5504550138303419, -19932.108160000003, 36210.240000000005, 0.6533905091769423]"
76,"[-0.8814258001939864, -14540.0, 16496.0, 0.8145341251920224, -0.8814258001939864, -14540.0, 16496.0, 0.8145341251920224]"
77,"[-0.5810873452089266, -26325.0, 45303.0, 0.4623383868302537, -0.38402909064779417, -16353.809700000002, 42584.82000000001, 0.7603282663427022]"
78,"[-0.4900349709706991, -14433.0, 29453.0, 0.8177318293926766, -0.32139877496511793, -7951.572819999999, 24740.52, 1.011429837988191]"
79,"[-1.0016774108669912, -30455.0, 30404.0, 0.33891298170220063, -1.0016774108669912, -30455.0, 30404.0, 0.33891298170220063]"
80,"[-0.7951893698607665, -38779.0, 48767.0, 0.09014952594289959, -0.6251188802834419, -28046.35864, 44865.64, 0.41089543585866184]"
81,"[-0.774180785575244, -23899.735031493357, 30871.0, 0.5348176389563571, -0.5562924849742126, -16486.37309149336, 29636.159999999996, 0.756366597989139]"
82,"[-0.8164033571957542, -13229.0, 16204.0, 0.8537134729215328, -0.8164033571957542, -13229.0, 16204.0, 0.8537134729215328]"
83,"[-0.973639819617038, -38909.56811135569, 39963.0, 0.0862474867078194, -0.973639819617038, -38909.56811135569, 39963.0, 0.0862474867078194]"
84,"[-0.7761269466464271, -27609.94, 35574.0, 0.4239378444415756, -0.6489989251494155, -22625.738007999997, 34862.52, 0.5728911495511759]"
85,"[-0.9077706267926227, -19027.780108200164, 20961.0, 0.6804164307658184, -0.9077706267926227, -19027.780108200164, 20961.0, 0.6804164307658184]"
86,"[-0.8562702805878984, -17944.0, 20956.0, 0.7128052924908378, -0.8562702805878984, -17944.0, 20956.0, 0.7128052924908378]"
87,"[-0.7615392558427702, -22125.0, 29053.0, 0.5878557479774262, -0.5524482202477246, -15729.27258, 28471.940000000002, 0.7789926118762391]"
88,"[-0.8402144024229865, -42167.0, 50186.0, -0.011101145382486287, -0.6740460895902027, -31121.462888000002, 46171.12, 0.31899568098689496]"
89,"[-0.8294332515267393, -29065.0, 35042.0, 0.3804532512247173, -0.6217482158436115, -21351.55496, 34341.16, 0.6109702195043712]"
90,"[-0.7225410454732469, -31116.95266435085, 43066.0, 0.31913046940847234, -0.5534867810951498, -23359.732480350853, 42204.68000000001, 0.5509556616306781]"
91,"[-0.8463799316557937, -27244.97, 32190.0, 0.434845004274405, -0.6799264608732589, -21449.096120000002, 31546.2, 0.6080551935504583]"
92,"[-0.8515655685388845, -34689.375, 40736.0, 0.21236832072421044, -0.6443322127947803, -25722.566680000004, 39921.28, 0.4803421584001417]"
93,"[-0.912058472379954, -31321.0, 34341.0, 0.31303249723709314, -0.912058472379954, -31321.0, 34341.0, 0.31303249723709314]"
94,"[-0.7116897094130309, -17193.0, 24158.0, 0.7352489920673917, -0.49119761397190714, -11391.69788, 23191.68, 0.9086214047626056]"
95,"[-0.7203532380151387, -20556.0, 28536.0, 0.6347454478916914, -0.5104216714440192, -14274.08496, 27965.28, 0.8224810190277712]"
96,"[-0.8873789381005245, -23181.0, 26123.0, 0.5562970971747085, -0.7272549381005246, -18998.080748, 26122.999999999996, 0.6813039986991717]"
97,"[-0.7558943089430894, -18595.0, 24600.0, 0.693350101513026, -0.5487641584500952, -12689.6224, 23124.0, 0.8698328188772221]"
98,"[-0.6821329026855673, -34213.74, 50157.0, 0.226582713597838, -0.5924780803661119, -23179.2, 39122.46, 0.5563508903294859]"
99,"[-0.4768666466436402, -6350.91, 13318.0, 1.0592657840007604, -0.23056026238685123, -2886.36548, 12518.920000000002, 1.1628039948882123]"
100,"[-0.6720599005147893, -36860.46936353465, 54847.0, 0.14748497898317015, -0.548837093621848, -25887.778543534645, 47168.42, 0.47540478765226674]"
101,"[-0.5454338136208148, -26309.0, 48235.0, 0.46281654820605245, -0.40992958895831355, -18586.5765, 45340.9, 0.6936018385348411]"
102,"[-0.764161220043573, -22448.0, 29376.0, 0.578202865203489, -0.5551236939220132, -15981.16736, 28788.48, 0.7714647147161564]"
103,"[-0.8406164188997254, -26633.25, 31683.0, 0.4531263090746308, -0.6536330805099239, -20294.875752, 31049.34, 0.6425491684965724]"
104,"[-0.8993460124106589, -26538.801480226135, 29509.0, 0.4559489112094575, -0.739222012410659, -21813.702364226134, 29508.999999999996, 0.5971589045902094]"
105,"[-0.765144242216714, -22507.483029046856, 29416.0, 0.5764252097656313, -0.5765431043027692, -16620.400117046855, 28827.68, 0.7523611888058342]"
106,"[-0.8658302481831893, -12629.0, 14586.0, 0.871644524513986, -0.6456862481831894, -9417.979616, 14585.999999999998, 0.9676061447971909]"
107,"[-0.7581115820190371, -21823.0, 28786.0, 0.5968810439456277, -0.5489710020602419, -15486.62568, 28210.28, 0.7862441353473206]"
108,"[-0.6773578785175574, -16705.0, 24662.0, 0.7498329140292537, -0.466569263793426, -11276.400560000002, 24168.76, 0.9120670750849248]"
109,"[-0.8133252211794444, -30245.125, 37187.0, 0.34518511412381087, -0.6052910420198413, -22058.77882, 36443.259999999995, 0.5898347736359149]"
110,"[-0.6244284165370292, -13246.0, 21213.0, 0.8532054264597465, -0.38754086865641396, -7727.65018, 19940.22, 1.0181217853391216]"
111,"[-0.44742990654205606, -8043.0, 17976.0, 1.0086975288523035, -0.2523448025939347, -4445.427168, 17616.480000000003, 1.1162113022826368]"
112,"[-0.7840480212788901, -21813.0, 27821.0, 0.5971798948055019, -0.5665708554988439, -15132.06506, 26708.159999999996, 0.7968402099637742]"
113,"[-0.9204979563486763, -34457.0, 37433.0, 0.21931286758053764, -0.9204979563486763, -34457.0, 37433.0, 0.21931286758053764]"
114,"[-0.9156943442657728, -21582.0, 23569.0, 0.6040833496685964, -0.9156943442657728, -21582.0, 23569.0, 0.6040833496685964]"
115,"[-0.8817796610169492, -14567.0, 16520.0, 0.813727227870362, -0.8817796610169492, -14567.0, 16520.0, 0.813727227870362]"
116,"[-0.7769119447845931, -6979.0, 8983.0, 1.0404952603429205, -0.7569639447845933, -6799.807116, 8982.999999999998, 1.0458504550895944]"
117,"[-0.8726920593931569, -27036.0, 30980.0, 0.4410900906931966, -0.7067755708093437, -21457.98904, 30360.4, 0.6077894278715792]"
118,"[-0.5617014491020351, -28180.0, 50169.0, 0.40690155232358577, -0.42402383233559454, -19145.566479999998, 45152.1, 0.6768963749164338]"
119,"[-0.635884509624198, -13875.0, 21820.0, 0.8344077073736581, -0.4446454179838755, -9508.11976, 21383.6, 0.9649122988428323]"
120,"[-0.8372791895610473, -15329.744681673215, 18309.0, 0.7909325374721091, -0.8372791895610473, -15329.744681673215, 18309.0, 0.7909325374721091]"
121,"[-0.721357685318921, -30965.0, 42926.0, 0.3236715878486154, -0.5791752059099121, -22375.5074, 38633.4, 0.5803693127879408]"
122,"[-0.5960191454587905, -10211.0, 17132.0, 0.9439066624315724, -0.37070744318624016, -6096.92152, 16446.72, 1.0668562515653752]"
123,"[-0.8655242120738766, -18839.0, 21766.0, 0.686058140532095, -0.8655242120738766, -18839.0, 21766.0, 0.686058140532095]"
124,"[-0.5635180337405469, -15499.0, 27504.0, 0.7858743277300847, -0.37606748109365906, -8895.2896, 23653.440000000002, 0.983226780870118]"
125,"[-0.6002091307568835, -19444.375, 32396.0, 0.6679664566024595, -0.38782564362947297, -12312.71956, 31748.08, 0.8810965926595257]"
126,"[-0.7115270430745979, -19772.625, 27789.0, 0.6581566771270881, -0.5014153500761203, -13655.154540000001, 27233.22, 0.8409778078497023]"
127,"[-0.6579553479179061, -13450.581177485754, 20443.0, 0.8470915003791767, -0.46716668154888374, -9359.282701485754, 20034.14, 0.9693603071346455]"
128,"[-0.7852260858880629, -25562.25, 32554.0, 0.48513323616715986, -0.5766388631510847, -18396.46352, 31902.92, 0.6992833812894661]"
